Correlation Table - 50 periods
https://www.mataf.net
Sat, 22 Jul 2023 20:27:37 +0000
pair1,pair2,5min,15min,1h,4h,day,week
EURUSD,EURUSD,100,100,100,100,100,0
EURUSD,GBPUSD,73,26.8,91.7,62.4,94.5,0
EURUSD,GBPCAD,56.4,-20.5,54.3,47.4,81.7,0
EURUSD,CHFJPY,27.7,26,-11.6,40.3,81.6,0
EURUSD,NZDUSD,21.3,38.4,92.1,71,77.6,0
EURUSD,EURJPY,43.8,48.6,-39.8,35.6,71.2,0
EURUSD,AUDUSD,29.9,44.8,78.5,81.4,68.8,0
EURUSD,GBPJPY,42.2,17.9,-56.1,12.8,68.8,0
EURUSD,EURCAD,50.8,-9.3,86.6,91.1,65.9,0
EURUSD,NZDJPY,25.5,37,36.3,65.1,64.1,0
EURUSD,AUDJPY,38.8,35.5,-39.5,43.5,53,0
EURUSD,GBPAUD,12.3,-23.2,-33.1,-36.2,50.5,0
EURUSD,CADJPY,-1.6,32,-73.6,-42,41,0
EURUSD,GBPNZD,2.1,-20.3,-78,-58.8,41,0
EURUSD,EURNZD,4.8,-11,-69.4,-15.9,34.6,0
EURUSD,EURAUD,16.2,-8.2,-11,-1.9,34.4,0
EURUSD,NZDCAD,21.5,3.9,92.4,66.6,21.4,0
EURUSD,AUDCAD,25.3,-7.7,71.9,83,21.2,0
EURUSD,USDJPY,-6.4,3.7,-80.6,-54.4,2.1,0
EURUSD,AUDNZD,-9.5,-10.2,-79.9,-23.8,-6.6,0
EURUSD,GBPCHF,37.6,8,-81,-36.3,-7,0
EURUSD,EURGBP,8.8,26.3,61.9,31.5,-25.6,0
EURUSD,EURCHF,54.8,51.5,-76.3,-38.9,-40.5,0
EURUSD,AUDCHF,6.4,27.6,-20.5,-14.4,-41.4,0
EURUSD,NZDCHF,8,28,38.1,5.1,-46.6,0
EURUSD,CADCHF,-28.2,25.2,-85.1,-94.7,-60.5,0
EURUSD,USDCAD,-5.3,-38.8,-78.8,-45,-77.2,0
